Signal ID: User markers
Start Time: 26/02/2020 22:20:55

26.02.2020 22:20:55,730; Start
26.02.2020 22:25:46,250; Marker
26.02.2020 22:26:06,230; Marker
26.02.2020 22:27:57,240; Marker
26.02.2020 22:31:32,750; Marker
26.02.2020 22:32:13,830; Lights Off
27.02.2020 08:14:47,190; Lights On
27.02.2020 08:20:59,250; Marker
27.02.2020 08:21:32,000; Marker
27.02.2020 08:22:08,000; Marker
27.02.2020 08:23:18,240; End
